İlan Tarihi,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
2020-04-17,Kia,Picanto,1.1 EX Comfort,2008.0,Dizel,Düz Vites,Bilmiyorum,Bilmiyorum,Siyah,Hatchback 5 Kapı,Sahibinden,2. El,218000,29750
2020-05-27,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2017.0,Dizel,Otomatik Vites,1301-1600 cc,151-175 BG,Lacivert,Sedan,Galeriden,2. El,52500,208500
2020-04-17,Kia,Diğer,Diğer,2015.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah,Station Wagon,Galeriden,2. El,115000,122500
2020-04-17,Kia,Cerato,1.6 CRDi Concept,2017.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah,Sedan,Galeriden,2. El,51000,136500
2020-04-17,Kia,Soul,Diğer,2015.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı,Arazi Aracı,Galeriden,2. El,93000,131950
2020-04-17,Kia,Sorento,2.5 CRDi EX Premium,2003.0,Dizel,Otomatik Vites,2001-2500 cc,Bilmiyorum,Gümüş Gri,Arazi Aracı,Galeriden,2. El,390000,51750
2020-04-17,Kia,Diğer,Diğer,2011.0,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri,Station Wagon,Galeriden,2. El,134250,94750
2020-04-16,Kia,Sportage,1.6 GDI Concept Plus,2014.0,Benzin/LPG,Düz Vites,1601-1800 cc,126-150 BG,Beyaz,Diğer,Sahibinden,2. El,40000,161000
2020-04-13,Kia,Sportage,1.6 GDI Concept Plus,2015.0,Benzin/LPG,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,115000,148000
2020-04-09,Kia,Sorento,2.5 CRDi EX Premium,2007.0,Dizel,Otomatik Vites,2001-2500 cc,151-175 BG,Siyah,Diğer,Sahibinden,2. El,295000,76000
2020-04-08,Kia,Cerato,1.6 CRDi Base,2007.0,Dizel,Düz Vites,1601-1800 cc,76-100 BG,Siyah,Sedan,Galeriden,2. El,370,37500
2020-06-11,Peugeot,2008,1.2 PureTech GT Line,2020.0,Benzin,Otomatik Vites,1300 cc ve altı,126-150 BG,Gri,Arazi Aracı,Galeriden,0 km,10,269500
2020-04-05,Kia,Stonic,1.4 MPI Elegance,2019.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,76-100 BG,Beyaz,Hatchback 5 Kapı,Sahibinden,2. El,14000,153750
2020-04-03,Kia,Rio,1.4 CVVT Fancy,2013.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz,Sedan,Sahibinden,2. El,52000,85000
2020-04-03,Kia,Cee'd,1.6 CRDI Concept Plus,2016.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz,Hatchback 5 Kapı,Sahibinden,2. El,62000,149000
2020-04-02,Kia,Cerato,1.6 CRDi LX,2007.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Siyah,Sedan,Galeriden,2. El,285000,39500
2020-04-01,Kia,Sorento,2.5 CRDi EX,2006.0,Dizel,Otomatik Vites,2001-2500 cc,101-125 BG,Siyah,Arazi Aracı,Sahibinden,2. El,243000,85000
2020-04-01,Kia,Sportage,1.6 GDI Concept Plus,2012.0,Benzin,Düz Vites,1801-2000 cc,176-200 BG,Beyaz,Minivan,Sahibinden,2. El,130000,115000
2020-03-28,Kia,Sportage,1.6 GDI Premium,2017.0,Benzin,Otomatik Vites,1301-1600 cc,76-100 BG,Beyaz,Arazi Aracı,Sahibinden,2. El,18000,187500
2020-03-28,Kia,Cerato,2023-06-01 00:00:00,2016.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz,Sedan,Sahibinden,2. El,67000,114000
2020-03-28,Kia,Sephia,1.6 GTX,1998.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Mavi,Sedan,Sahibinden,2. El,300000,16500
2020-03-28,Kia,Cee'd,1.6 CRDi Concept,2012.0,Dizel,Düz Vites,1601-1800 cc,101-125 BG,Bordo,Hatchback 5 Kapı,Sahibinden,2. El,179500,85000
2020-03-27,Kia,Sportage,1.6 GDI Concept Plus,2017.0,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Kırmızı,Arazi Aracı,Sahibinden,2. El,21000,170000
2020-03-26,Kia,Sportage,1.6 GDI Premium,2017.0,Benzin,Otomatik Vites,1601-1800 cc,126-150 BG,Kırmızı,Arazi Aracı,Sahibinden,2. El,35000,178000
2020-03-24,Kia,Pride,1.3 DLX,2000.0,Benzin,Düz Vites,1301-1600 cc,51-75 BG,Gümüş Gri,Hatchback 5 Kapı,Sahibinden,2. El,121000,26000
2020-03-21,Kia,Sportage,1.6 CRDI Elegance,2019.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz,Arazi Aracı,Sahibinden,2. El,15000,240000
2020-04-08,Jeep,Wrangler,2.8 CRD,2014.0,Dizel,Otomatik Vites,2501-3000 cc,126-150 BG,Siyah,Arazi Aracı,Galeriden,2. El,54000,457500
2020-06-15,Lada,Niva,1.7i 1.7i,2008.0,Benzin/LPG,Düz Vites,1601-1800 cc,51-75 BG,Beyaz,Arazi Aracı,Sahibinden,2. El,115000,48000
2020-06-12,Lada,Vega,1.6 (16V),2005.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri,Station Wagon,Sahibinden,2. El,186000,25500
2020-06-09,Lada,Samara,2023-05-01 00:00:00,1993.0,Benzin/LPG,Düz Vites,1301-1600 cc,100 BG ve altı,Mavi,Sedan,Galeriden,2. El,231,11500
2020-06-02,Lada,Samara,1500i,2001.0,Benzin,Düz Vites,1301-1600 cc,76-100 BG,Yeşil,Hatchback 5 Kapı,Sahibinden,2. El,148000,14500
2020-05-30,Lada,Samara,2023-05-01 00:00:00,1991.0,Benzin/LPG,Düz Vites,1301-1600 cc,51-75 BG,Kırmızı,Hatchback 5 Kapı,Sahibinden,2. El,111111,13500
2020-05-25,Lada,Vega,1.5i,2001.0,Benzin/LPG,Düz Vites,1301-1600 cc,100 BG ve altı,Yeşil,Sedan,Sahibinden,2. El,220000,11750
2020-05-24,Lada,Samara,1500,2000.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Yeşil,Hatchback 5 Kapı,Sahibinden,2. El,209000,13900
2020-04-18,Lada,Samara,2023-05-01 00:00:00,1990.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz,Hatchback 5 Kapı,Galeriden,2. El,115000,12000
2020-04-18,Lada,Samara,2023-05-01 00:00:00,1993.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Kırmızı,Hatchback 5 Kapı,Galeriden,2. El,58000,12000
2020-04-18,Lada,Niva,Diğer,2018.0,Benzin,Düz Vites,1601-1800 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,600,119900
2020-04-17,Lada,Vega,2023-05-01 00:00:00,2001.0,Benzin/LPG,Düz Vites,1301-1600 cc,Bilmiyorum,Kahverengi,Sedan,Galeriden,2. El,300000,10000
2020-04-12,Lada,Samara,1500,1991.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Kırmızı,Hatchback 5 Kapı,Galeriden,Hasarlı,110000,5500
2020-04-11,Lada,Vega,2023-05-01 00:00:00,2000.0,Benzin/LPG,Düz Vites,1301-1600 cc,50 BG ve altı,Beyaz,Sedan,Galeriden,2. El,111111,12750
2020-04-07,Lada,Vega,1.6 (16V),2001.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Kahverengi,Sedan,Galeriden,2. El,250000,10000
2020-03-25,Lada,Samara,2023-05-01 00:00:00,1994.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Bordo,Hatchback 5 Kapı,Sahibinden,2. El,200000,13500
2020-03-22,Lada,Vega,1.6 (8V),2006.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri,Sedan,Sahibinden,2. El,213000,20000
2020-05-20,BMW,7 Serisi,740d xDrive Exclusive,2012.0,Dizel,Otomatik Vites,3501-4000 cc,251-275 BG,Beyaz,Sedan,Galeriden,2. El,128707,597500
2020-06-14,Land Rover,Range Rover Sport,2.7 TDV6 HSE,2011.0,Dizel,Otomatik Vites,2501-3000 cc,226-250 BG,Kahverengi,Diğer,Sahibinden,2. El,168000,328000
2020-06-08,Land Rover,Range Rover,3.0 TD Vogue,2003.0,Dizel,Otomatik Vites,2501-3000 cc,176-200 BG,Yeşil,Arazi Aracı,Galeriden,2. El,176000,175000
2020-05-28,Land Rover,Range Rover Sport,2.7 TDV6 HSE,2007.0,Dizel,Otomatik Vites,2501-3000 cc,176-200 BG,Beyaz,Arazi Aracı,Galeriden,2. El,210000,200000
2020-05-22,Land Rover,Range Rover Sport,3.0 SDV6 HSE,2013.0,Dizel,Otomatik Vites,2501-3000 cc,276-300 BG,Siyah,Arazi Aracı,Galeriden,2. El,180000,640000
2020-05-21,Land Rover,Discovery Sport,2.0 TD4 HSE,2016.0,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz,Arazi Aracı,Galeriden,2. El,200550,444500
2020-05-17,Land Rover,Range Rover Sport,3.0 SDV6 Autobiography,2012.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,182000,370000
2020-05-17,Land Rover,Range Rover Sport,3.0 SDV6 Autobiography,2013.0,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Füme,Arazi Aracı,Galeriden,2. El,92000,688000
2020-05-17,Land Rover,Range Rover,2.0 PHEV Autobiography,2020.0,Hibrit,Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,0 km,0,1995000
2020-05-17,Land Rover,Range Rover,2.0 PHEV Autobiography,2020.0,Hibrit,Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,0 km,0,1995000
2020-05-17,Land Rover,Range Rover Velar,2.0 TD4 S,2020.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,650,937500
2020-05-13,Land Rover,Range Rover Sport,3.0 TDV6 Premium HSE,2011.0,Dizel,Otomatik Vites,2501-3000 cc,226-250 BG,Gri,Arazi Aracı,Galeriden,2. El,249000,279000
2020-05-12,Land Rover,Diğer,Diğer,2016.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,73000,449000
2020-05-12,Land Rover,Diğer,Diğer,2018.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Gri,Arazi Aracı,Galeriden,2. El,17252,559900
2020-05-12,Land Rover,Diğer,Diğer,2020.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,0 km,0,2175000
2020-05-12,Land Rover,Diğer,Diğer,2020.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,0 km,0,2425000
2020-05-12,Land Rover,Range Rover Velar,2.0 TD4 R-Dynamic S,2020.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Kahverengi,Arazi Aracı,Galeriden,0 km,0,950000
2020-05-12,Land Rover,Diğer,Diğer,2020.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,0 km,0,679000
2020-05-12,Land Rover,Range Rover,3.0 TDV6 Autobiography,2016.0,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,68000,1220000
2020-05-12,Land Rover,Diğer,Diğer,2020.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,0 km,0,2175000
2020-05-12,Mercedes,Vito,110 D,2000.0,Dizel,Düz Vites,1601-1800 cc,101-125 BG,Beyaz,Camlı Van,Galeriden,2. El,250000,49500
2020-05-12,Land Rover,Range Rover,3.0 TDV6 Vogue,2013.0,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Bej,Arazi Aracı,Galeriden,2. El,186500,640000
2020-05-12,Land Rover,Range Rover Sport,2.0 SD4 HSE,2017.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,63701,859000
2020-05-12,Land Rover,Freelander,2.0 TD4 HSE,2006.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,91000,109500
2020-05-12,Land Rover,Range Rover,3.0 TDV6 Vogue,2016.0,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,61000,1325000
2020-05-12,Land Rover,Diğer,Diğer,2017.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,55000,445000
2020-05-12,Land Rover,Diğer,Diğer,2020.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,0 km,0,2195000
2020-05-12,Land Rover,Diğer,Diğer,2020.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,0 km,0,2195000
2020-05-12,Land Rover,Range Rover Sport,3.0 SDV6 HSE Dynamic,2020.0,Dizel,Otomatik Vites,2501-3000 cc,301-325 BG,Beyaz,Arazi Aracı,Galeriden,0 km,0,1795000
2020-05-12,Land Rover,Range Rover Sport,3.0 SDV6 HSE Dynamic,2020.0,Dizel,Otomatik Vites,2501-3000 cc,301-325 BG,Siyah,Arazi Aracı,Galeriden,0 km,0,1795000
2020-05-12,Land Rover,Range Rover,3.0 TDV6 Vogue,2014.0,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,47500,1150000
2020-05-07,Land Rover,Range Rover,4.4 Vogue,2005.0,Benzin/LPG,Otomatik Vites,4001-4500 cc,276-300 BG,Lacivert,Arazi Aracı,Sahibinden,2. El,217000,132000
2020-05-04,Land Rover,Range Rover,4.4 TDV8 Autobiography,2012.0,Dizel,Otomatik Vites,3501-4000 cc,301-325 BG,Beyaz,Arazi Aracı,Galeriden,2. El,212000,392000
2020-05-03,Land Rover,Freelander,2023-08-01 00:00:00,2000.0,Benzin/LPG,Düz Vites,1601-1800 cc,176-200 BG,Lacivert,Hatchback 5 Kapı,Sahibinden,2. El,260000,43500
2020-05-01,Land Rover,Range Rover Velar,2.0 TD4 SE,2020.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,600,977000
2020-05-01,Land Rover,Discovery Sport,Diğer,2015.0,Benzin,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Turuncu,Arazi Aracı,Galeriden,2. El,41000,399500
2020-05-01,Land Rover,Range Rover Sport,3.0 TDV6 Autobiography,2010.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,226000,275000
2020-05-01,Land Rover,Range Rover,3.0 TDV6 Autobiography,2015.0,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Bej,Arazi Aracı,Galeriden,2. El,77642,1190000
2020-05-01,Land Rover,Range Rover,Diğer,2005.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,355000,186500
2020-05-27,Mercedes,A Serisi,A 180 CDI BlueEfficiency Style,2014.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Siyah,Hatchback 5 Kapı,Galeriden,2. El,182000,199500
2020-04-28,Land Rover,Freelander,2.0 TD4 HSE,2006.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,176000,115000
2020-04-27,Land Rover,Range Rover Evoque,2.0 Si4 Pure,2012.0,Benzin,Otomatik Vites,1801-2000 cc,226-250 BG,Beyaz,Arazi Aracı,Sahibinden,2. El,74600,319000
2020-04-24,Land Rover,Discovery,2.7 TDV6,2008.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,200000,162500
2020-04-23,Land Rover,Range Rover Sport,2.0 HSE,2008.0,Dizel,Otomatik Vites,2501-3000 cc,176-200 BG,Füme,Arazi Aracı,Galeriden,2. El,275000,185000
2020-04-22,Land Rover,Range Rover,3.6 TDV8 Vogue,2007.0,Dizel,Otomatik Vites,3501-4000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,279000,185000
2020-04-22,Land Rover,Diğer,Diğer,2020.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,0 km,0,2390000
2020-04-22,Land Rover,Freelander,ll 2.0 Si4 SE,2013.0,Benzin,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,91746,239500
2020-04-22,Land Rover,Freelander,2.0 TD4 HSE,2004.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Füme,Arazi Aracı,Galeriden,2. El,184000,102500
2020-04-21,Land Rover,Discovery,3.9 V8,1995.0,Dizel,Otomatik Vites,2001-2500 cc,126-150 BG,Siyah,Arazi Aracı,Galeriden,2. El,295000,58900
2020-04-21,Land Rover,Range Rover Sport,3.0 TDV6 Autobiography,2012.0,Dizel,Otomatik Vites,2501-3000 cc,226-250 BG,Beyaz,Arazi Aracı,Galeriden,2. El,130000,439500
2020-04-18,Land Rover,Range Rover,3.0 TD6 Vogue,2003.0,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,280000,117750
2020-04-18,Land Rover,Range Rover,3.0 TDV6 Vogue,2016.0,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Gri,Arazi Aracı,Galeriden,2. El,50000,955000
2020-04-18,Land Rover,Range Rover Sport,3.0 SDV6 HSE,2012.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,155000,324900
2020-04-18,Land Rover,Freelander,II 2.2 TD4 Premium GS,2011.0,Dizel,Otomatik Vites,2001-2500 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,288000,155000
2020-04-18,Land Rover,Range Rover Sport,2.7 TDV6 HSE,2008.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,305000,189000
2020-04-18,Land Rover,Range Rover Sport,2.7 TDV6 HSE,2008.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Füme,Arazi Aracı,Galeriden,2. El,207000,186500
2020-04-18,Land Rover,Diğer,Diğer,2016.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Bordo,Arazi Aracı,Galeriden,2. El,65000,485000
2020-04-18,Land Rover,Range Rover Sport,2.7 TDV6 HSE,2007.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,300000,190000
2020-05-27,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2017.0,Dizel,Otomatik Vites,1301-1600 cc,151-175 BG,Lacivert,Sedan,Galeriden,2. El,52500,208500
2020-04-18,Land Rover,Range Rover Sport,2.7 TDV6 HSE,2009.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Füme,Arazi Aracı,Galeriden,2. El,178000,207500
2020-04-18,Land Rover,Range Rover,3.0 TDV6 Vogue,2016.0,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,63000,1230000
2020-04-18,Land Rover,Diğer,Diğer,2016.0,Dizel,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Diğer,Diğer,Galeriden,2. El,58800,345000
2020-04-18,Land Rover,Range Rover Sport,3.0 SDV6 Premium HSE,2012.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,220000,345000
2020-04-18,Land Rover,Range Rover Sport,2.7 TDV6 HSE,2007.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Füme,Arazi Aracı,Galeriden,2. El,305000,148950
2020-04-18,Land Rover,Range Rover Evoque,2.0 Si4 Pure,2012.0,Benzin,Otomatik Vites,1801-2000 cc,Bilmiyorum,Yeşil,Arazi Aracı,Galeriden,2. El,146000,258950
2020-04-18,Land Rover,Range Rover,3.6 TDV8 Vogue,2008.0,Dizel,Otomatik Vites,3501-4000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,240000,179950
2020-04-18,Land Rover,Freelander,II 2.2 TD4 GS,2009.0,Dizel,Yarı Otomatik Vites,2001-2500 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,154700,159000
2020-04-18,Land Rover,Range Rover,4.4 Vogue,2002.0,Benzin,Yarı Otomatik Vites,4001-4500 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,127000,149000
2020-04-18,Land Rover,Range Rover,3.0 TDV6 Autobiography,2014.0,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,95000,1100000
2020-04-18,Land Rover,Range Rover Sport,2.7 TDV6 HSE,2006.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,149000,147750
2020-04-18,Land Rover,Range Rover,3.0 TD6 Vogue,2006.0,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,235000,159000
2020-04-18,Land Rover,Discovery,3.9 V8,1998.0,Benzin/LPG,Yarı Otomatik Vites,1300 cc ve altı,Bilmiyorum,Yeşil,Arazi Aracı,Galeriden,2. El,147000,87500
2020-04-18,Land Rover,Range Rover,3.6 TDV8 Vogue,2007.0,Dizel,Yarı Otomatik Vites,3501-4000 cc,Bilmiyorum,Gri,Arazi Aracı,Galeriden,2. El,298000,184500
2020-04-18,Land Rover,Discovery,Diğer,2002.0,Dizel,Otomatik Vites,2001-2500 cc,Bilmiyorum,Gri,Arazi Aracı,Galeriden,2. El,129000,118750
2020-04-18,Land Rover,Range Rover,3.0 TDV6 Autobiography LWB,2016.0,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,183315,1325000
2020-04-18,Land Rover,Range Rover Sport,3.0 TDV6 HSE,2011.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,185000,265000
2020-04-18,Land Rover,Range Rover Sport,2.0 SD4 HSE,2018.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,19565,1250000
2020-04-18,Land Rover,Range Rover,3.0 TDV6 Autobiography,2017.0,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,85774,1435000
2020-06-03,Hyundai,I20,1.2 Team,2011.0,Benzin,Düz Vites,1300 cc ve altı,100 BG ve altı,Beyaz,Hatchback 5 Kapı,Galeriden,2. El,220000,49500
2020-04-18,Land Rover,Range Rover Evoque,2.0 Si4 Dynamic,2012.0,Benzin,Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,188000,250000
2020-04-18,Land Rover,Freelander,1.8 SE,2003.0,Benzin/LPG,Düz Vites,1601-1800 cc,Bilmiyorum,Lacivert,Arazi Aracı,Galeriden,2. El,216000,48500
2020-04-18,Land Rover,Freelander,II 2.2 TD4 HSE,2009.0,Dizel,Otomatik Vites,2001-2500 cc,Bilmiyorum,Füme,Arazi Aracı,Galeriden,2. El,238000,131500
2020-04-18,Land Rover,Range Rover Sport,3.0 SDV6 HSE,2013.0,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,193000,440000
2020-04-18,Land Rover,Defender,110 2.5,1987.0,Benzin/LPG,Düz Vites,1300 cc ve altı,Bilmiyorum,Yeşil,Arazi Aracı,Galeriden,2. El,212000,105500
2020-04-18,Land Rover,Freelander,II 2.2 TD4 HSE,2007.0,Dizel,Otomatik Vites,2001-2500 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,250000,125000
2020-04-18,Land Rover,Range Rover,3.6 TDV8 HSE,2008.0,Dizel,Otomatik Vites,3501-4000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,187000,205000
2020-04-18,Land Rover,Range Rover Sport,3.0 TDV6 HSE,2011.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,135000,380000
2020-04-18,Land Rover,Range Rover,4.4 Vogue,2003.0,Benzin,Yarı Otomatik Vites,4001-4500 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,260000,165000
2020-04-18,Land Rover,Freelander,2.0 TD4 HSE,2006.0,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,350,79900
2020-04-18,Land Rover,Freelander,2.5 V6,2001.0,Benzin/LPG,Otomatik Vites,2001-2500 cc,Bilmiyorum,Yeşil,Arazi Aracı,Galeriden,2. El,290000,48000
2020-04-18,Land Rover,Range Rover Sport,2.0 SD4 HSE Plus,2017.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,67000,790000
2020-04-18,Land Rover,Diğer,Diğer,2018.0,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,19800,625000
2020-04-18,Land Rover,Range Rover Sport,3.0 SDV6 HSE,2020.0,Dizel,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,20,1550000
2020-04-18,Land Rover,Range Rover Sport,2.0 PHEV HSE Dynamic,2020.0,Hibrit,Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,0 km,0,1495000
2020-04-18,Land Rover,Range Rover Sport,2.0 PHEV HSE Dynamic,2020.0,Hibrit,Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,0 km,0,1495000
2020-04-18,Land Rover,Range Rover Sport,3.0 SDV6 Premium HSE,2012.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,127000,415000
2020-04-18,Land Rover,Range Rover Sport,3.0 TDV6 Premium HSE,2012.0,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Beyaz,Arazi Aracı,Galeriden,2. El,179000,353000
2020-04-18,Land Rover,Range Rover Sport,3.0 SDV6 HSE Dynamic,2019.0,Dizel,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Siyah,Arazi Aracı,Galeriden,2. El,181,1550000
